"Trs_Id","Agency_Type_Desc","Institution_Type_Desc","Organization_Type_Desc","Fy_Month_Num","Fy_Day_Num","Fy_Year_Num","Company_Nm","Street1_Nm","Street2_Nm","City_Nm","State_Desc","Zip_Cd","Zip_4_Cd","Url_Cd","Ftavc_Cd","Logo_Cd","Service_Area","Service_Area_Population","Waiver_9_Req_Fl","Non_Uza_Served_Fl","Veh_Operated_Comment","Institutional_Structure_Desc","other_Url_Cd","Po_Box","Other_Cap_Use_Comment_Desc","Other_Option_B_Comment_Desc","Voluntary_Reporter_Fl","operate_fgw_mbdo_fl","operate_fgw_mbpt_fl"
"4006","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",6,30,2008,"Cape Fear Public Transportation Authority                                                           ","                                                                                                    ","                                                                                                    ","Wilmington                         ","NC                  ",28402,"    ","www.wavetransit.com                                                                                 ",1066,"Wave                     ","32 ","55,530 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ",2258,"                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"4007","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",6,30,2008,"Capital Area Transit                                                                                ","1430 South Blount Street                                                                            ","                                                                                                    ","Raleigh                            ","NC                  ",27603,"    ","www.raleigh-nc.org/transit                                                                          ",1065,"CAT                      ","125 ","347,729 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"4008","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",6,30,2008,"Charlotte Area Transit System                                                                       ","600 East Fourth Street                                                                              ","                                                                                                    ","Charlotte                          ","NC                  ",28202,2858,"www.ridetransit.org                                                                                 ",1111,"CATS                     ","445 ","696,837 ","N","N","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","Y","N"
"4009","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",6,30,2008,"Fayetteville Area System of Transit                                                                 ","455 Grove Street                                                                                    ","                                                                                                    ","Fayetteville                       ","NC                  ",28301,"    ","fayettevilleonline.com/fast/                                                                        ",1112,"FAST                     ","92 ","174,000 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"4010","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",6,30,2008,"Gastonia Transit                                                                                    ","                                                                                                    ","                                                                                                    ","Gastonia                           ","NC                  ",28053,1748,"www.cityofgastonia.com                                                                              ",1063,"Gastonia Transit         ","45 ","78,000 ","Y"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ",1748,"                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"4011","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",6,30,2008,"High Point Transit                                                                                  ","716 West Kivett Drive                                                                               ","                                                                                                    ","High Point                         ","NC                  ",27262,6811,"www.high-point.net/hitran                                                                           ",1064,"Hi tran                  ","52 ","94,973 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"4012","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",6,30,2008,"Winston-Salem Transit Authority - Trans-Aid of Forsyth County                                       ","1060 North Trade Street                                                                             ","                                                                                                    ","Winston-Salem                      ","NC                  ",27101,"    ","www.cityofws.org/DOT/tp.html                                                                        ",1114,"WSTA                     ","108 ","199,555 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"4014","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",9,30,2008,"Coast Transit Authority                                                                             ","333 DeBuys Road                                                                                     ","                                                                                                    ","Gulfport                           ","MS                  ",39507,3893,"www.CoastTransit.com                                                                                ",1107,"CTA                      ","50 ","106,592 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"4015","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",9,30,2008,"City of Jackson Transit System                                                                      ","200 South President Street                                                                          ","                                                                                                    ","Jackson                            ","MS                  ",39205,"    ","www.city.jackson.ms.us                                                                              ",1109,"JATRAN                   ","114 ","196,000 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"4016","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",6,30,2008,"Ashland Bus System                                                                                  ","99 15th Street                                                                                      ","                                                                                                    ","Ashland                            ","KY                  ",41105,1839,"www.ashlandky.org/abs.htm                                                                           ",1399,"ABS                      ","17 ","21,981 ","Y"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ",1839,"                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"4017","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",6,30,2008,"Lexington Transit Authority                                                                         ","109 West Loudon Avenue                                                                              ","                                                                                                    ","Lexington                          ","KY                  ",40508,"    ","www.lextranonthemove.org                                                                            ",1104,"LexTran                  ","67 ","210,650 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"4018","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",6,30,2008,"Transit Authority of River City                                                                     ","1000 West Broadway                                                                                  ","                                                                                                    ","Louisville                         ","KY                  ",40203,"    ","www.ridetarc.org                                                                                    ",1105,"TARC                     ","283 ","754,756 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"4019","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",6,30,2008,"Transit Authority of Northern Kentucky                                                              ","3375 Madison Pike                                                                                   ","                                                                                                    ","Fort Wright                        ","KY                  ",41017,"    ","www.tankbus.org                                                                                     ",2613,"TANK                     ","267 ","269,680 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"4020","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",6,30,2008,"Owensboro Transit System                                                                            ","430 Allen Street                                                                                    ","                                                                                                    ","Owensboro                          ","KY                  ",42302,9003,"www.owensboro.org                                                                                   ",1106,"OTS                      ","13 ","54,000 ","Y"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ",10003,"                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"4021","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",6,30,2008,"Albany Transit System                                                                               ","712 Flint Avenue                                                                                    ","                                                                                                    ","Albany                             ","GA                  ",31701,"    ","www.albany.ga.us/ats/ats_index.htm                                                                  ",1002,"ATS                      ","17 ","79,939 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"4022","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",6,30,2008,"Metropolitan Atlanta Rapid Transit Authority                                                        ","2424 Piedmont Road, N.E.                                                                            ","                                                                                                    ","Atlanta                            ","GA                  ",30324,3330,"www.itsmarta.com                                                                                    ",1101,"MARTA                    ","498 ","1,574,600 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","Y","N"
"4023","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",12,31,2008,"Augusta Richmond County Transit Department                                                          ","1535 Fenwick Street                                                                                 ","                                                                                                    ","Augusta                            ","GA                  ",30904,"    ","www.augustaga.gov                                                                                   ",2016,"APT                      ","25 ","210,000 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"4024","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",6,30,2008,"Metra Transit System                                                                                ","814 Linwood Boulevard                                                                               ","                                                                                                    ","Columbus                           ","GA                  ",31902,1340,"www.metratransit.com                                                                                ",1046,"Metra                    ","132 ","230,208 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"4025","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",6,30,2008,"Chatham Area Transit Authority                                                                      ","900 East Gwinnett Street                                                                            ","                                                                                                    ","Savannah                           ","GA                  ",31401,9118,"www.catchacat.org                                                                                   ",1103,"CAT                      ","438 ","232,048 ","N","N","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ",9118,"                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"4026","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","5. Unit of County Government                                                                        ","                                                                                                                                                                                                        ",9,30,2008,"Manatee County Area Transit                                                                         ","1108 26th Avenue, East                                                                              ","                                                                                                    ","Bradenton                          ","FL                  ",34208,"    ","www.mymanatee.org                                                                                   ",1079,"MCAT                     ","90 ","103,000 ","N","N","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"4027","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",9,30,2008,"Pinellas Suncoast Transit Authority                                                                 ","3201 Scherer Drive                                                                                  ","                                                                                                    ","St. Petersburg                     ","FL                  ",33716,"    ","www.psta.net                                                                                        ",1080,"PSTA                     ","230 ","863,796 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"4028","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","5. Unit of County Government                                                                        ","                                                                                                                                                                                                        ",9,30,2008,"Lee County Transit                                                                                  ","6035 Landing View Road                                                                              ","                                                                                                    ","Fort Myers                         ","FL                  ",33907,"    ","www.rideleetran.com                                                                                 ",1083,"LeeTran                  ","121 ","451,153 ","N","N","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"4029","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","5. Unit of County Government                                                                        ","                                                                                                                                                                                                        ",9,30,2008,"Broward County Transportation Department                                                            ","3201 West Copans Road                                                                               ","                                                                                                    ","Pompano Beach                      ","FL                  ",33069,"    ","www.broward.org/bct                                                                                 ",1082,"BCT                      ","410 ","1,787,636 ","N","N","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
