name,url,location,contact,email,phone,address,dataexchange_id
The Greater New Haven Transit District (GNHTD),http://www.gnhtd.org/,"Hamden, CT",Ms. Donna Carter (Executive Director),dcarter@gnhtd.org,(203)288-6282 Ext:2517,"
840 Sherman Avenue
Hamden, CT 06514"
Connecticut Transit - Hartford Division (CTTransit),http://www.cttransit.com/,"Hartford, CT",Mr. David Lee (General Manager),dlee@cttransit.com,(860)522-8101 Ext:203,"
100 Leibert Road
Hartford, CT 06141"
Connecticut Transit - New Haven Division (CTTRANSIT),http://www.cttransit.com/,"Hartford, CT",Mr. David Lee (General Manager),dlee@cttransit.com,(860)522-8101 Ext:203,"
100 Leibert Road
Hartford, CT 06141"
Connecticut Transit - Stamford Division (CTTransit),http://www.cttransit.com/,"Hartford, CT",Mr. David Lee (General Manager),dlee@cttransit.com,(860)522-8101 Ext:203,"
100 Leibert Road
Hartford, CT 06141"
Greater Hartford Transit District (GHTD),http://www.hartfordtransit.org/,"Hartford, CT",Ms. Vicki Shotland (Executive Director),vshotland@hartfordtransit.org,(860)247-5329 Ext:3002,"
One Union Place
Hartford, CT 06103"
Middletown Transit District (MTD),http://www.middletownareatransit.org/,"Middletown, CT",Mr. Thomas Cheeseman (Administrator),tcheeseman@mtdct.org,(860)346-0212,"
340 Main Street
Middletown, CT 06457"
Milford Transit District (MTD),http://www.milfordtransit.com/,"Milford, CT",Mr. Henry Jadach (Executive Director),henry@milfordtransit.com,(203)874-4507,"
259 Research Drive
Milford, CT 06460"
Connecticut Department of Transportation (CDOT),http://www.ct.gov/dot,"Newington, CT","Mr. Raymond Godcher (Chief, Fiscal & Administration)",Raymond.Godcher@PO.state.CT.US,(860)594-2805,"
2800 Berlin Turnpike
Newington, CT 06131"
Norwalk Transit District,http://www.norwalktransit.com/,"Norwalk, CT",Mr. Louis Schulman (Administrator),lschulman@norwalktransit.com,(203)299-5160 Ext:163,"
275 Wilson Avenue
Norwalk, CT 06854"
Southeast Area Transit (SEAT),http://www.seatbus.com/,"Preston, CT",Ms. Ella Bowman (General Manager),ebowman@seatransit.org,(860)886-2631 Ext:104,"
21 Route 12
Preston, CT 06365"
"2Plus Partners in Transportation, Inc (2Plus)",http://www.2plus.com/,"Rocky Hill, CT",Mr. Byron York (President),byork@2plus.com,(860)242-1722 Ext:101,"
1800 Silas Deane Highway #305N
Rocky Hill, CT 06067"
Greater Hartford Ridesharing Corporation - The Rideshare Company (GHRC),http://www.rideshare.com/,"Windsor, CT",Mr. Jonathan Colman (President & CEO),jcolman@rideshare.com,(860)692-1222,"
100 Corporate Drive Suite 120
Windsor, CT 06095"
Brockton Area Transit Authority (BAT),http://www.ridebat.com/,"Brockton, MA",Mr. Reinald Ledoux (Administrator),rledoux@ridebat.com,(508)588-1000,"
155 Court Street
Brockton, MA 02302"
Cape Cod Regional Transit Authority (CCRTA),http://www.thebreeze.info/,"Hyannis, MA",Mr. Thomas Cahair (Administrator),tcahair@capecoderta.org,(508)775-8504 Ext:204,"
215 Iyannough Road, Route 28
Hyannis, MA 02601"
Southeastern Regional Transit Authority (SRTA),http://www.srtabus.com/,"New Bedford, MA",Mr. Joseph Cosentino (Administrator),jcsrta@aol.com,(508)997-6767,"
700 Pleasant Street, 1st Floor
New Bedford, MA 02740"
Greater Attleboro-Taunton Regional Transit Authority (GATRA),http://www.gatra.org/,"Taunton, MA",Mr. Francis Gay (Administrator),fgay@gatra.org,(508)226-1102 Ext:220,"
10 Oak Street Second Floor
Taunton, MA 02780"
Worcester Regional Transit Authority (WRTA),http://www.therta.com/,"Worcester, MA",Mr. Stephen O'Neil (Administrator),soneil@therta.com,(508)791-2389 Ext:3032,"
287 Grove Street
Worcester, MA 01605"
"Western Maine Transportation Services, Inc. (WMTS)",///,"Auburn, ME",Mr. Patrick Christian (General Manager),pchristian@westernmainetrans.org,207-333-6972 Ext:206,"
76 Merrow Road
Auburn, ME 04210"
City of Bangor - BAT Community Connector (BAT),http://www.bangormaine.gov/,"Bangor, ME",Mr. Edward Barrett (City Manager),ed.barrett@bangormaine.gov,(207)945-4400,"
73 Harlow Street
Bangor, ME 04401"
Casco Bay Island Transit District (CBITD),http://www.cascobaylines.com/,"Portland, ME",Ms. Catherine Debo (General Manager),cdebo@cascobaylines.com,(207)774-7871 Ext:103,"
P.O. BOX 4656
Portland, ME 04112"
Greater Portland Transit District (Metro),http://www.gpmetrobus.com/,"Portland, ME",Mr. David Redlefsen (General Manager),dredlef@gpmetrobus.com,(207)774-0351,"
114 Valley Street
Portland, ME 04102"
"The Regional Transportation Program, Inc. (RTP)",http://www.rtprides.org/,"Portland, ME",Mr. Jack DeBeradinis (Acting Executive Director),jackd@rtprides.org,(207)774-2666 Ext:113,"
127 St. John Street
Portland, ME 04102"
Northern New England Passenger Rail Authority (NNEPRA),http://www.amtrakdowneaster.com/,"Portland, ME",Ms. Patricia Quinn (Executive Director),patricia@nnepra.com,(207)780-1000 Ext:105,"
75 West Commercial Street Suite 104
Portland, ME 04101"
Cooperative Alliance for Seacoast Transportation (COAST),http://www.coastbus.org/,"Dover, NH",Mr. Rad Nichols (Executive Director),rnichols@coastbus.org,(603)743-5777 Ext:100,"
42 Sumner Drive
Dover, NH 03820"
Manchester Transit Authority (MTA),http://www.mtabus.org/,"Manchester, NH",Mr. Evan Rosset (Executive Director),erosset@mtabus.org,(603)623-8801 Ext:612,"
110 Elm Street
Manchester, NH 03101"
Nashua Transit System (NTS),http://www.gonashua.com/,"Nashua, NH",Hon. Donnalee Lozeau (Mayor-City of Nashua),lozeaud@nashuanh.gov,(603)589-3260,"
11 Riverside St.
Nashua, NH 03062"
Rhode Island Public Transit Authority (RIPTA),http://www.ripta.com/,"Providence, RI",Mr. Alfred Moscola (General Manager),AJMoscola@ripta.com,(401)784-9500 Ext:171,"
265 Melrose Street
Providence, RI 02907"
Bonanza (BZ),http://www.bonanzabus.com/,"Providence, RI",Mr. Peter Picknelly (President),peter@peterpanbus.com,(800)237-8747 Ext:1202,"
One Bonanza Way
Providence, RI 02904"
Chittenden County Transportation Authority (CCTA),http://www.cctaride.org/,"Burlington, VT",Mr. Christopher Cole (General Manager),ccole@cctaride.org,(802)864-0211,"
15 Industrial Parkway
Burlington, VT 05401"
Cumberland County Office on Aging (CCOOA),http://www.co.cumberland.nj.us.com/,"Bridgeton, NJ",Ms. Misono Miller (Executive Director),pgarino@njtransit.com,(856)453-2220,"
790 East Commerce Street
Bridgeton, NJ 08302"
"Lakeland Bus Lines, Inc.",http://www.lakelandbus.com/,"Dover, NJ",Mr. Gregory Mazzarisi (President),gmazz@nac.com,(800)367-0601 Ext:611,"
425 East Blackwell Street
Dover, NJ 07802"
"Olympia Trails Bus Company, Inc. (Coach USA)",http://www.olympiabus.com/,"Elizabeth, NJ",Mr. James Rutherford (V.P. Northeast Region),james.rutherford@coachusa.com,(908)354-3330 Ext:273,"
349 First Street
Elizabeth, NJ 07206"
"Orange-Newark-Elizabeth, Inc. (Coach USA)",http://www.coachusa.com/,"Elizabeth, NJ",Mr. James Rutherford (General Manager),james.rutherford@coachusa.com,(908)354-0545,"
349 First Street
Elizabeth, NJ 07206"
Trans-Hudson Express,http://www.transhudson.com/,"Elizabeth, NJ",Mr. James Rutherford (General Manager),james.rutherford@coachusa.com,(973)354-0545,"
349 First Street
Elizabeth, NJ 07206"
"Academy Lines, Inc.",http://www.academybus.com/,"Hoboken, NJ",Mr. Francis Tedesco (President),FTEDESCO@ACADEMYBUS.COM,(201)420-7000,"
Francis A. Tedesco, President 111 Paterson Avenue
Hoboken, NJ 07030"
"Hudson Transit Lines, Inc. (Short Line)",http://www.shortlinebus.com/,"Mahwah, NJ",Mr. George Grieve (General Manager),george.grieve@coachusa.com,(201)529-3666 Ext:1301,"
4 Leisure Lane
Mahwah, NJ 07430"
DeCamp Bus Lines,http://www.decamp.com/,"Montclair, NJ",Mr. Gary Pard (Vice President),garyppard@aol.com,(973)783-7500,"
101 Greenwood Avenue
Montclair, NJ 07042"
Suburban Transit Corporation (Coach USA),http://www.suburbantransit.com/,"New Brunswick, NJ",Mr. Scott Sprengel (General Manager),scott.sprengel@coachusa.com,(732)249-1100,"
750 Somerset Street
New Brunswick, NJ 08901"
"Community Transit, Inc. (Community Transit)",http://www.coachusa.com/,"Paramus, NJ",Mr. John Nguyen (General Manager),john.nguyen@coachusa.com,(201)225-7515,"
160 South route 17 North
Paramus, NJ 07652"
Port Imperial Ferry Corporation dba NY Waterway,http://www.nywaterway.com/,"Weehawken, NJ","Mr. Arthur Imperatore, Sr. (President and Chief Executive Officer)",imperatoresr@nywaterway.com,201-902-8740,"
4800 Avenue at Port Imperial
Weehawken, NJ 07086"
"Rockland Coaches, Inc.",http://www.redandtanlines.com/,"Westwood, NJ",Mr. George Grieve (President),george.grieve@coachusa.com,(201)225-7581,"
180 Old Hook Road
Westwood, NJ 07675"
Private Transportation Corporation,///,"Brooklyn, NY",Mr. Jack Marmurstein (President),seegerct1@yahoo.com,(718)875-8200 Ext:103,"
15 Second Avenue
Brooklyn, NY 11215"
Monroe Bus Corporation,///,"Brooklyn, NY",Mr. Herman Freund (President),jfreund@monroebus.com,(718)782-8700 Ext:117,"
60 Nostrand Avenue
Brooklyn, NY 11205"
"Private One of New York, LLC, dba: New York Airport Service",http://www.nyairportservice.com/,"Brooklyn, NY",Mr. Jack Marmurstein (CEO),seegerct1@yahoo.com,(718)875-8200,"
15 Second Avenue
Brooklyn, NY 11215"
Niagara Frontier Transportation Authority (NFT Metro),http://www.nfta.com/,"Buffalo, NY",Mr. Lawrence Meckler (Executive Director),lawrence_meckler@nfta.com,(716)855-7230,"
181 Ellicott Street
Buffalo, NY 14203"
Putnam County Transit (PART),http://www.putnamcountyny.com/,"Carmel, NY","Mr. John Lynch (Commissioner of Planning, Development & Public Transp.)",john.lynch@putnamcountyny.gov,(845)878-3480 Ext:110,"
Putnam County Planning Department 841 Fair Street
Carmel, NY 10512"
Chemung County Transit System (CCTS),http://www.chemungcountytransit.com/,"Elmira, NY",Mr. Thomas Santulli (Chemung County Executive),tsantulli@co.chemung.ny.us,(607)737-2912,"
1201 Clemens Center Parkway
Elmira, NY 14901"
"Metropolitan Suburban Bus Authority, dba: MTA Long Island Bus (MTA Long Island Bus)",http://www.libus.org/,"Garden City, NY",Mr. Joseph Smith (President),Joseph.Smith@nyct.com,(516)296-4122 Ext:0000,"
700 Commercial Avenue
Garden City, NY 11530"
Town of Highlands Dial-A-Bus,///,"Highland Falls, NY",Mrs. Colleen Solan (Manager ),csolan@townofhighlands.com,(845)446-7433,"
254 Main Street
Highland Falls, NY 10928"
Huntington Area Rapid Transit (HART),http://town.huntington.ny.us/,"Huntington Station, NY",Mr. Frank Petrone (Town Supervisor),smcgloin@town.huntington.ny.us,(631)351-3053,"
144 East Second Street
Huntington Station, NY 11746"
"Adirondack Transit Lines, Inc, (Adirondack Trailways)",http://www.trailwaysny.com/,"Hurley, NY",Mr. Eugene Berardi (President),eberardijr@trailwaysny.com,(845)339-4230 Ext:137,"
499 Hurley Avenue
Hurley, NY 12443"
Tompkins Consolidated Area Transit (TCAT),http://www.tcatbus.com/,"Ithaca, NY",Mr. Joseph Turcotte (General Manager),jt1@tcatmail.com,(607)277-9388 Ext:444,"
737 Willow Avenue
Ithaca, NY 14850"
MTA Long Island Rail Road (MTA LIRR),http://www.mta.nyc.ny.us/lirr/,"Jamaica, NY",Ms. Helena Williams (President),hewilli@lirr.org,(718)558-8252,"
Jamaica Station
Jamaica, NY 11435"
Ulster County Area Transit (UCAT),http://www.co.ulster.ny.us/ucat,"Kingston, NY",Mr. Arthur Smith (Ulster County Budget Director),asmi@co.ulster.ny.us,(845)340-3633,"
1 Danny Circle
Kingston, NY 12401"
City of Long Beach (Long Beach Bus),http://www.longbeachny.org/,"Long Beach, NY",Mr. Charles Theofan (City Manager),ctheofan@longbeachny.org,(516)431-1000 Ext:7201,"
One West Chester Street
Long Beach, NY 11561"
Town of Monroe Dial-A-Bus (Monroe DAB),http://www.monroeny.org/,"Monroe, NY",Hon. Sandy Leonard (Town Supervisor ),dab@monroeny.org,(845)783-1900 Ext:227,"
91 Mine Road
Monroe, NY 10950"
Village of Kiryas Joel (KJ),///,"Monroe, NY",Mr Abraham Wieder (Mayor),gskj@thejnet.com,(845)783-8300,"
Monroe, NY 10949"
Westchester County Bee-Line System (The Bee-Line System),http://www.westchestergov.com/,"Mount Vernon, NY",Mr. Lawrence Salley (Commissioner),lcs1@westchestergov.com,(914)813-7715,"
100 East First Street
Mount Vernon, NY 10550"
Clarkstown Mini-Trans,http://town.clarkstown.ny.us/,"Nanuet, NY",Mr. Alexander Gromack (Supervisor),a_gromack@town.clarkstown.ny.us,(845)639-2020,"
16 Seeger Drive
Nanuet, NY 10954"
Newburgh Beacon Bus Corporation (NBBC),http://www.leprechaunlines.com/,"New Windsor, NY","Mr. Edward Gallagher, Jr. (President)",egallagher@leprechaunlines.com,(845)565-7900,"
24 Windsor Highway
New Windsor, NY 12550"
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad (MTA-MNCR)",http://www.mnr.org/,"New York, NY",Mr. Howard Permut (President),permut@mnr.org,(212)340-2500,"
347 Madison Avenue
New York, NY 10017"
New York City Department of Transportation (NYCDOT),http://www.ci.nyc.ny.us/html/dot,"New York, NY",Mr. Joseph Jarrin (Deputy Commisioner),jjarrin@dot.nyc.gov,(212)676-0562,"
59 Maiden Lane, 35 th Floor
New York, NY 10038"
MTA Bus Company (MTABUS),http://www.mta.info/,"New York, NY",Mr. Joseph Smith (President),joseph.smith@mtabusco.com,(646)252-5872,"
341 Madison Avenue
New York, NY 10017"
"BillyBey Ferry Company, LLC",http://www.nywaterway.com/,"New York, NY",Mr. Paul Goodman (Chief Executive Officer),paulgoodman@mindspring.com,201-902-8814,"
Pier 79 459 12th Avenue
New York, NY 10018"
"Hendrick Hudson Bus Lines, Inc. (HHBL)",http://www.leprechaunlines.com/,"Newburgh, NY","Mr. Edward Gallagher, Jr (Chief Executive )",egallagher@leprechaunlines.com,(845)565-7900 Ext:302,"
100 Leprechaun Lane
Newburgh, NY 12550"
Tioga County (Tioga County Transit),http://www.tiogacountyny.com/transportation,"Owego, NY",Mr. Shawn Yetter (Commissioner of Department of Social Services),shawn.yetter@dfa.state.ny.us,(607)687-8302,"
1062 State Route 38
Owego, NY 13827"
Transportation Resources Intra-County for Physically Handicapped and Senior Citizens (TRIPS),http://www.co.rockland.ny.us/,"Pomona, NY",Mr. Michael Gurski (Transit Administrator),GurskiM@co.rockland.ny.us,(845)364-2066,"
CITS-Trips-Yeager Health Group Center Building T, Sanatorium Road
Pomona, NY 10970"
Transport of Rockland (TOR),http://www.co.rockland.ny.us/,"Pomona, NY",Mr. Michael Gurski (Transit Administrator),Gurskim@co.rockland.ny.us,(845)364-2066,"
Robert L. Yeager Health Center Building T
Pomona, NY 10970"
City of Poughkeepsie,http://www.cityofpoughkeepsie.com/,"Poughkeepsie, NY",Mr. Michael Long (City Administrator),cknapp@cityofpoughkeepsie.com,(845)451-4072,"
Poughkeepsie, NY 12602"
Dutchess County Division of Mass Transportation (Loop Bus),http://www.dutchessny.gov/,"Poughkeepsie, NY",Mr. Scott Colburn (General Manager),scolburn@co.dutchess.ny.us,(845)473-0171 Ext:101,"
14 Commerce Street
Poughkeepsie, NY 12603"
Greater Glens Falls Transit System (GGFT),http://www.cityofglensfalls.com/,"Queensbury, NY",Mr. Scott Sopczyk (Transportation Director),ssggft@choiceonemail.com,(518)792-1086,"
495 Queensbury Avenue
Queensbury, NY 12804"
"Regional Transit Service, Inc. and Lift Line, Inc. (R-GRTA)",http://www.rgrta.com/,"Rochester, NY",Mr. Mark Aesch (Chief Executive Officer),maesch@rgrta.com,(585)654-0220,"
1372 East Main Street
Rochester, NY 14609"
Village of Spring Valley Bus (Spring Valley Jitney),http://www.villagespringvalley.org/,"Spring Valley, NY",Mr. George Darden (Mayor),gdarden@villagespringvalley.org,(845)573-5864,"
200 North Main Street
Spring Valley, NY 10977"
Monsey New Square Trails Corporation,http://www.monseybus.com/,"Spring Valley, NY",Mr. Chaim Lunger (President),clunger@monseytrails.com,(845)354-7026,"
Eight Washington Avenue
Spring Valley, NY 10977"
"Atlantic Paratrans of NYC, Inc. (API)",http://www.atlanticexpress.com/,"Staten Island, NY",Mr. Domenic Gatto (President and CEO),nyhq@aetg.net,(718)442-7000,"
7 North Street
Staten Island, NY 10302"
"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway (SIRTOA)",http://www.mta.info/,"Staten Island, NY",Mr. William Massi (Director of Finance-Administration),William.Massi@nyct.com,(718)876-8255,"
60 Bay Street
Staten Island, NY 10301"
"Centro of Oneida, Inc. (Centro of Oneida)",http://www.centro.org/,"Syracruse, NY",Mr. Frank Kobliski (Executive Director),fkobliski@centro.org,315-442-3360,"
200 Cortland Avenue
Syracruse, NY 13205"
"CNY Centro, Inc. (CNY Centro )",http://www.centro.org/,"Syracuse, NY",Mr. Frank Kobliski (Executive Director),fkobliski@centro.org,(315)442-3360,"
200 Cortland Ave.
Syracuse, NY 13205"
"Centro of Cayuga, Inc. (Centro of Cayuga)",http://www.centro.org/,"Syracuse, NY",Mr. Frank Kobliski (Executive Director),fkobliski@centro.org,(315)442-3360,"
200 Cortland Avenue
Syracuse, NY 13205"
"Centro of Oswego, Inc. (Centro of Oswego)",http://www.centro.org/,"Syracuse, NY",Mr. Frank Kobliski (Executive Director),fkobliski@centro.org,(315)442-3360,"
200 Cortland Avenue
Syracuse, NY 13205"
Broome County Department of Public Transportation (Broome County),http://www.gobroomecounty.com/transit/,"Vestal, NY",Ms. Barbara Fiala (Broome County Executive),dewing@co.broome.ny.us,(607)763-4464,"
413 Old Mill Road
Vestal, NY 13850"
Suffolk County Department of Public Works - Transportation Division (ST),http://www.sct-bus.org/,"Yaphank, NY","Mr. Robert Shinnick (Director, Transportation Operations)",robert.shinnick@co.suffolk.ny.us,(631)852-4880,"
Rudolph M. Kammerer Building 335 Yaphank Avenue
Yaphank, NY 11980"
"Trans-Bridge Lines, Inc.",http://www.transbridgelines.com/,"Bethlehem, PA",Mr. Thomas JeBran (President),tbl@fast.net,(610)868-6001 Ext:122,"
2012 Industrial Drive
Bethlehem, PA 18017"
Delaware Transit Corporation (DTC),http://www.dartfirststate.com/,"Dover, DE",Mr. Stephen Kingsberry (Executive Director),stephen.kingsberry@state.de.us,(302)760-2831,"
900 Public Safety Boulevard
Dover, DE 19901"
Harford Transit (HT),http://www.harfordcountymd.gov/services/transportation/,"Abingdon, MD","Mr. Michael Hannan (Manager, Harford Transit)",mthannan@harfordcountymd.gov,(410)612-1742,"
1311 Abingdon Road
Abingdon, MD 21009"
Annapolis Department of Transportation (Annapolis Transit),http://www.annapolis.gov/,"Annapolis, MD",Ms. Danielle Matland (Director),matlandd@annapolis.gov,(410)263-7964 Ext:6013,"
308 Chinquapin Round Road
Annapolis, MD 21401"
Allegany County Transit (ACT),http://gov.allconet.org/ACT,"Cumberland, MD","Mr. James Stafford, Jr. (Transit Chief)",jstafford@allconet.org,(301)722-6360,"
1000 Lafayette Avenue
Cumberland, MD 21502"
Howard Transit (HT),http://www.howardtransit.com/,"Ellicott City, MD",Mr. Ben Pickar (Chief Transportation Planning),bpickar@howardcountymd.gov,(410)313-4360,"
3430 Courthouse Drive
Ellicott City, MD 20707"
Transit Services of Frederick County,http://www.frederickcountymd.gov/transit,"Frederick, MD",Ms. Sherry Burford (Division Director),SBurford@FrederickCountyMD.gov,(301)600-2065,"
1040 Rocky Springs Road
Frederick, MD 21702"
Washington County Transit (County Commuter),http://www.washco-md.net/,"Hagerstown, MD",Mr. Kevin Cerrone (Director),kcerrone@washco-md.net,(240)313-2750,"
1000 West Washington Street
Hagerstown, MD 21740"
Prince George's County Transit (TheBus),http://www.princegeorgescountymd.gov/,"Largo, MD",Mr. James Gordon (Acting Deputy Director),JRGordon@co.pg.md.us,(301)883-5600,"
9400 Peppercorn Place Suite #320
Largo, MD 20774"
"County Commissioners of Charles County, MD (DCS VanGO)",http://www.go-vango.com/,"Port Tobacco, MD",Mr. Jeffry Barnett (Chief of Transportation),BarnettJ@charlescounty.org,(301)934-0102,"
8190 Port Tobacco Road
Port Tobacco, MD 20677"
